Model,Fold,Epoch,Train_Loss,Test_Loss,TPR,FPR
Logistic Regression,4,440,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,450,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,460,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,470,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,480,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,490,0.2204,0.4367,0.9286,0.2381
Logistic Regression,4,500,0.2204,0.4367,0.9286,0.2381
Naive Bayes,4,500,0.3231,0.5133,0.7857,0.1905
KNN,4,500,0.2678,0.3628,0.8571,0.1429
SVM,4,500,0.3840,0.5193,0.7857,0.1905
XGBoost,5,10,0.6885,0.7082,1.0000,1.0000
XGBoost,5,20,0.6876,0.7023,1.0000,1.0000
XGBoost,5,30,0.6877,0.7002,1.0000,1.0000
XGBoost,5,40,0.6880,0.6985,1.0000,1.0000
XGBoost,5,50,0.6879,0.6987,1.0000,1.0000
XGBoost,5,60,0.6886,0.6967,1.0000,1.0000
XGBoost,5,70,0.6877,0.7026,1.0000,1.0000
XGBoost,5,80,0.6879,0.7048,1.0000,1.0000
XGBoost,5,90,0.6879,0.6989,1.0000,1.0000
XGBoost,5,100,0.6878,0.6992,1.0000,1.0000
XGBoost,5,110,0.6881,0.6981,1.0000,1.0000
XGBoost,5,120,0.6934,0.6931,0.0000,0.0000
XGBoost,5,130,0.6881,0.6979,1.0000,1.0000
XGBoost,5,140,0.6882,0.7065,1.0000,1.0000
XGBoost,5,150,0.6896,0.6952,1.0000,1.0000
XGBoost,5,160,0.6905,0.6944,1.0000,1.0000
XGBoost,5,170,0.6923,0.6934,1.0000,1.0000
XGBoost,5,180,0.6879,0.7053,1.0000,1.0000
XGBoost,5,190,0.6878,0.7044,1.0000,1.0000
XGBoost,5,200,0.6876,0.7019,1.0000,1.0000
XGBoost,5,210,0.6878,0.6995,1.0000,1.0000
XGBoost,5,220,0.6877,0.7027,1.0000,1.0000
XGBoost,5,230,0.6894,0.7114,1.0000,1.0000
XGBoost,5,240,0.6894,0.6955,1.0000,1.0000
XGBoost,5,250,0.6880,0.6983,1.0000,1.0000
XGBoost,5,260,0.6876,0.7024,1.0000,1.0000
XGBoost,5,270,0.6876,0.7013,1.0000,1.0000
XGBoost,5,280,0.6884,0.6971,1.0000,1.0000
XGBoost,5,290,0.6877,0.7028,1.0000,1.0000
XGBoost,5,300,0.6876,0.7018,1.0000,1.0000
XGBoost,5,310,0.6877,0.7037,1.0000,1.0000
XGBoost,5,320,0.6887,0.6965,1.0000,1.0000
XGBoost,5,330,0.6883,0.7072,1.0000,1.0000
XGBoost,5,340,0.6877,0.7027,1.0000,1.0000
